name,parent_id
Hà Nội,0
TP Hồ Chí Minh,0
Đà Nẵng,0
Ba Đình,1
Hoàn Kiếm,1
Tây Hồ,1
Long Biên,1
Cầu Giấy,1
Đống Đa,1
Hai Bà Trưng,1
Hoàng Mai,1
Thanh Xuân,1
Hà Đông,1
Sơn Tây,1
Sóc Sơn,1
Đông Anh,1
Gia Lâm,1
Từ Liêm,1
Thanh Trì,1
Mê Linh,1
Ba Vì,1
Phúc Thọ,1
Đan Phượng,1
Hoài Đức,1
Quốc Oai,1
Thạch Thất,1
Chương Mỹ,1
Thanh Oai,1
Thường Tín,1
Phú Xuyên,1
Ứng Hòa,1
Mỹ Đức,1
Quận 1,2
Quận 12,2
Thủ Đức,2
Quận 9,2
Gò Vấp,2
Bình Thạnh,2
Tân Bình,2
Tân Phú,2
Phú Nhuận,2
Quận 2,2
Quận 3,2
Quận 10,2
Quận 11,2
Quận 4,2
Quận 5,2
Quận 6,2
Quận 8,2
Bình Tân,2
Quận 7,2
Củ Chi,2
Hóc Môn,2
Bình Chánh,2
Nhà Bè,2
Cần Giờ,2
Liên Chiểu,3
Thanh Khê,3
Hải Châu,3
Sơn Trà,3
Ngũ Hành Sơn,3
Cẩm Lệ,3
Hoà Vang,3
Hoàng Sa,3
Phúc Xá,4
Trúc Bạch,4
Vĩnh Phúc,4
Cống Vị,4
Liễu Giai,4
Nguyễn Trung Trực,4
Quán Thánh,4
Ngọc Hà,4
Điện Biên,4
Đội Cấn,4
Ngọc Khánh,4
Kim Mã,4
Giảng Võ,4
Thành Công,4
Phúc Tân,5
Đồng Xuân,5
Hàng Mã,5
Hàng Buồm,5
Hàng Đào,5
Hàng Bồ,5
Cửa Đông,5
Lý Thái Tổ,5
Hàng Bạc,5
Hàng Gai,5
Chương Dương Độ,5
Hàng Trống,5
Cửa Nam,5
Hàng Bông,5
Tràng Tiền,5
Trần Hưng Đạo,5
Phan Chu Trinh,5
Hàng Bài,5